gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
ABHD17AP4	0.0108868680181886	1.17047309675068e-07	0.00144269500195977	0.997989703673993	0.999965023961193
ABHD17B	0.0160351736970931	1.22567393295352e-07	0.0014426950079061	0.997978833927539	0.999965023961193
ABHD18	1.26754846120144	-1.6375135949598e-06	0.00144268496656649	0.548651927291147	0.999965023961193
ABHD2	0.922335235748926	-4.72186862482925e-06	0.00144269644018286	0.00127623180715774	0.999965023961193
ABHD3	0.0991960010397087	-5.20206503136853e-07	0.00144269491690402	0.77663939888596	0.999965023961193
ABHD4	0.0395166930677413	-4.09680619939461e-08	0.00144269498433438	0.962627805465407	0.999965023961193
ABHD5	0.914673074183925	1.18577103252574e-06	0.00144268780898023	0.612934386589121	0.999965023961193
ABHD8	0.0599994642507285	1.90933981411034e-07	0.00144269491249624	0.942592006324614	0.999965023961193
ABI1	0.207116512508174	3.76364870789344e-07	0.00144269432281887	0.918400793005014	0.999965023961193
ABI2	0.765657933378963	1.60508271484582e-07	0.00144269258703494	0.929767815738786	0.999965023961193
ABI3	0.0497965672863361	5.12381187608339e-08	0.00144269492123779	0.997276822874906	0.999965023961193
ABITRAM	0.0128040545445806	-8.91883329534766e-08	0.00144269501922021	0.963554527216517	0.999965023961193
ABL1	0.0496127611896965	-3.30397316568025e-08	0.00144269494582276	0.98159101087801	0.999965023961193
ABL2	0.36201199094352	-1.97428494357676e-06	0.00144269338345802	0.235530354674682	0.999965023961193
ABLIM1	0.483080284437457	2.12613538322303e-06	0.00144269338688377	0.219948459063723	0.999965023961193
ABLIM3	0.0113354218580847	-1.04240451262291e-07	0.00144269501564265	0.963532810350908	0.999965023961193
ABO	0.33402679540183	-1.45749503149018e-06	0.00144269414403929	0.314455668816144	0.999965023961193
ABR	0.226043913997013	-2.21127335013003e-08	0.00144269456014814	0.79212458331611	0.999965023961193
ABRACL	0.0315264658842567	-2.44519084387044e-08	0.00144269494744058	0.964234914488792	0.999965023961193
ABRAXAS1	0.382825975477303	2.39001066927641e-06	0.0014426936953678	0.235346439155736	0.999965023961193
ABRAXAS2	0.0230983711358029	1.65787511689909e-08	0.0014426949926401	0.978767696546802	0.999965023961193
ABTB1	1.55016292409868	-2.55046690676697e-06	0.00144268939516722	0.250259356026247	0.999965023961193
ABTB2	0.0680991585492921	1.39660283020621e-07	0.0014426949454971	0.976647054713678	0.999965023961193
AC001226.2	0.0138741547604816	-1.48088699672946e-07	0.00144269500255806	0.965521767508904	0.999965023961193
AC002985.1	0.0133892527941367	-5.36884602661291e-08	0.00144269502593244	0.965728101651579	0.999965023961193
AC002996.1	0.0431371124110828	1.98753649452368e-08	0.00144269499507567	0.990223134655849	0.999965023961193
AC004383.1	0.00631849719143541	9.01246838284454e-08	0.00144269500618944	0.997967964181461	0.999965023961193
AC004453.1	0.00643928671829719	-1.25438881680866e-07	0.00144269499886121	0.965576065744243	0.999965023961193
AC004890.2	0.0294323145864808	-4.44082609657911e-07	0.00144269502390379	0.959986120791075	0.999965023961193
AC004980.1	0.0195839657199282	8.80193904625359e-08	0.00144269501565489	0.98461692743677	0.999965023961193
AC004980.3	0.0174472098341092	8.17490998243604e-08	0.00144269501959979	0.998109270909159	0.999965023961193
AC004987.3	0.0180246798082696	9.38663611535306e-08	0.00144269501597213	0.980331761570013	0.999965023961193
AC005041.1	0.0231118889925627	2.93064681120053e-08	0.00144269497904594	0.9985573558635	0.999965023961193
AC005154.2	0.126404154683355	2.06180436085856e-07	0.00144269432735193	0.920574611539068	0.999965023961193
AC005154.5	0.0108056516618456	-8.4117571680576e-08	0.00144269501838931	0.963369934722276	0.999965023961193
AC005324.4	0.0113354218580847	-1.04240451262291e-07	0.00144269501564265	0.963532810350908	0.999965023961193
AC005531.1	0.231029608033865	6.53639676307759e-07	0.00144269399955311	0.977159971893655	0.999965023961193
AC005726.1	20.0514453495609	1.33995339829329e-05	0.00144260886320775	0.144375323565504	0.999965023961193
AC005865.1	0.0112144860000286	-1.20552904457739e-07	0.00144269501796053	0.999856326150548	0.999965023961193
AC006001.3	2.4767323080401	-2.01292220994277e-06	0.00144268786015641	0.483329341102435	0.999965023961193
AC006144.1	0.0103177613861079	-1.09046941239734e-07	0.00144269502041346	0.963565385659462	0.999965023961193
AC006453.3	0.0119681993465237	-7.02964593105627e-08	0.00144269502448479	0.96332650147918	0.999965023961193
AC006486.1	0.0377472002343649	-1.72269764538481e-07	0.00144269494609776	0.960018689152729	0.999965023961193
AC007040.2	0.00983802180551403	-8.22824615801259e-08	0.00144269501829827	0.965456609837551	0.999965023961193
AC007068.1	0.160490162108755	-1.55849562303364e-07	0.00144269415750673	0.852434841547633	0.999965023961193
AC007192.1	0.022091829753271	4.93916699371223e-08	0.0014426949985284	0.982702492344062	0.999965023961193
AC007216.5	0.105774398118255	-2.29355297869931e-08	0.00144269500834943	0.953340764187959	0.999965023961193
AC007326.4	191.83613467149	1.88100536890467e-05	0.00144232906318459	0.283847189515348	0.999965023961193
AC007342.3	0.161044776644273	2.12325785911678e-07	0.00144269437398825	0.85477496741737	0.999965023961193
AC007347.2	0.0112144860000286	-1.20552904457739e-07	0.00144269501796053	0.999856326150548	0.999965023961193
AC007537.1	0.0107214167064559	6.399249102097e-08	0.00144269502025254	0.998120140659956	0.999965023961193
AC007546.3	0.76560374872171	-4.93347733416339e-07	0.00144268926674312	0.835525544324696	0.999965023961193
AC007547.3	0.0475532148235459	-1.10246406974423e-07	0.0014426949848121	0.945274395395324	0.999965023961193
AC007688.2	0.00668648172131951	8.55625336923408e-09	0.00144269502723968	0.997859266741755	0.999965023961193
AC008038.1	0.0357190066883855	1.6354532826841e-07	0.00144269496919692	0.987732437831536	0.999965023961193
AC008132.1	0.00643928671829719	-1.25438881680866e-07	0.00144269499886121	0.965576065744243	0.999965023961193
AC008403.1	0.0117318447330724	-1.39659789036489e-08	0.00144269502446269	0.999926278227512	0.999965023961193
AC008581.2	0.0338542272629896	1.88564332489156e-07	0.00144269499939217	0.967182696006427	0.999965023961193
AC008758.1	0.0147199535175772	1.70595506754067e-07	0.00144269498354622	0.982517749955514	0.999965023961193
AC008763.2	0.12016769028435	3.17998938600622e-07	0.00144269451736147	0.886332289809224	0.999965023961193
AC008770.2	0.00545223393923732	6.94908693484591e-08	0.00144269501248601	0.997946224690439	0.999965023961193
AC008878.3	0.0609850642063075	-1.85879688689655e-08	0.00144269483501981	0.939421816873503	0.999965023961193
AC009053.2	0.0744484326641653	-2.1796274479473e-07	0.00144269495097627	0.980379885994135	0.999965023961193
AC009093.3	0.0891245766427505	1.24085255718528e-07	0.00144269490879979	0.955062765111447	0.999965023961193
AC009094.1	0.00762147636571794	1.55817779348764e-07	0.00144269500614738	0.998065791909499	0.999965023961193
AC009133.6	0.0420912732696713	-3.78034282373411e-08	0.00144269500346727	0.961920377565278	0.999965023961193
AC009136.2	0.016067103352964	-1.34322642349347e-07	0.00144269501250486	0.963489376700866	0.999965023961193
AC009163.5	0.013329421039647	5.57664308776665e-08	0.00144269502309333	0.998131010411102	0.999965023961193
AC009220.2	0.0233495827245957	1.20099978306332e-07	0.00144269502607932	0.980266562764879	0.999965023961193
AC009286.3	0.0320913492357368	2.68941386844049e-08	0.00144269500540206	0.959693008547833	0.999965023961193
AC009299.1	0.0578994647022062	-1.5634420062971e-07	0.00144269502150661	0.87125855176585	0.999965023961193
AC009779.4	0.0776684725358193	-1.01030364124484e-07	0.00144269497676396	0.973702814738123	0.999965023961193
AC009879.1	0.021931790143356	3.54108326331008e-08	0.00144269497792163	0.980931847569079	0.999965023961193
AC009879.2	0.0093118452776034	-1.46050003788536e-07	0.00144269499882001	0.965565206084397	0.999965023961193
AC009927.1	0.0112144860000286	-1.20552904457739e-07	0.00144269501796053	0.999856326150548	0.999965023961193
AC009961.2	0.022300930206557	-1.83449640199753e-07	0.00144269500646757	0.946667990700661	0.999965023961193
AC010132.3	0.0476243016256268	-1.47057153622175e-07	0.00144269499720537	0.961996379534639	0.999965023961193
AC010186.2	0.0206381334657033	-1.67229739626336e-07	0.00144269500456252	0.946895748166256	0.999965023961193
AC010197.2	0.00786590041455002	-9.27234480936407e-08	0.00144269501259522	0.965478329035729	0.999965023961193
AC010319.1	0.00931749822736747	5.60554927403956e-08	0.00144269501962097	0.998120140659956	0.999965023961193
AC010326.4	0.017205365209624	1.29104633606273e-07	0.00144269500838712	0.980396960506531	0.999965023961193
AC010422.3	0.0274935673847437	7.53652724454964e-08	0.00144269496021175	0.999353891376855	0.999965023961193
AC010422.6	0.209616435200089	-8.88577577514724e-07	0.00144269423041973	0.652437193544554	0.999965023961193
AC010422.8	0.242253453986236	4.52602168533527e-07	0.00144269362484635	0.814379239208877	0.999965023961193
AC010507.1	0.0336035051542935	1.85223447661361e-07	0.0014426950025352	0.964835200969116	0.999965023961193
AC010507.2	0.0384064564335259	-2.55553488779742e-10	0.0014426949905484	0.945412142102065	0.999965023961193
AC010646.1	0.0114059383299909	-3.46923329406757e-07	0.00144269500584445	0.965543486783869	0.999965023961193
AC010886.1	0.0117318447330724	-1.39659789036489e-08	0.00144269502446269	0.999926278227512	0.999965023961193
AC011043.1	0.0195839657199282	-1.68293144386022e-07	0.00144269500289538	0.965543486783869	0.999965023961193
AC011295.1	0.00983802180551403	-8.22824615801259e-08	0.00144269501829827	0.965456609837551	0.999965023961193
AC011498.4	0.00685400339147974	9.41530196752117e-08	0.00144269500282498	0.997978833927539	0.999965023961193
AC011511.1	0.102439488236946	2.55280872442844e-07	0.00144269483865865	0.970186475181969	0.999965023961193
AC011511.4	0.0711082125206117	2.61755485330309e-07	0.00144269489099691	0.970821165041482	0.999965023961193
AC012254.2	0.055552392007273	6.77745232802111e-08	0.00144269499443297	0.981601877767583	0.999965023961193
AC012435.2	28.0033795774627	-3.7113183570404e-06	0.00144268067777756	0.270282390823166	0.999965023961193
AC012441.1	0.254209680695785	-6.14839465155051e-07	0.00144269334938342	0.743738691823371	0.999965023961193
AC012441.2	0.030901708924947	-2.18360908030794e-07	0.0014426950030909	0.925590916584798	0.999965023961193
AC012618.3	0.00997955719146398	6.69363983312745e-08	0.00144269501189602	0.99993241461784	0.999965023961193
AC013394.1	0.0417824632426745	-1.5760484847983e-08	0.00144269498018008	0.977643061814513	0.999965023961193
AC013470.2	0.0065935393343585	5.6909816006746e-08	0.00144269501167737	0.999943284398948	0.999965023961193
AC015802.6	1.18162954975904	-5.00918450315295e-08	0.00144268931037371	0.979851677124595	0.999965023961193
AC015813.2	0.0886419199171149	2.51937934230395e-07	0.001442694832408	0.976065967092927	0.999965023961193
AC015910.1	0.0133892527941367	-5.36884602661291e-08	0.00144269502593244	0.965728101651579	0.999965023961193
AC016582.3	0.0244744131303327	-7.09852266191844e-08	0.00144269501338318	0.978995881990577	0.999965023961193
AC016734.1	0.0128040545445806	-8.91883329534766e-08	0.00144269501922021	0.963554527216517	0.999965023961193
AC018362.3	0.0223626690509583	-9.04682175399658e-08	0.00144269501939697	0.946461928177409	0.999965023961193
AC018638.2	0.0108056516618456	-8.4117571680576e-08	0.00144269501838931	0.963369934722276	0.999965023961193
AC018638.4	0.0517576874321206	4.6916122404686e-08	0.00144269498893634	0.979752802160135	0.999965023961193
AC018638.5	0.0841589122287683	6.78190124678908e-08	0.00144269492818312	0.959004354553486	0.999965023961193
AC018738.1	0.0103112157856894	6.3203495688745e-08	0.0014426950175037	0.999834586588675	0.999965023961193
AC018755.2	0.113712910940612	3.21374227915964e-07	0.00144269473544677	0.83831637151844	0.999965023961193
AC020779.1	0.0191162375623925	-9.13225635397078e-08	0.00144269502008614	0.946483618800905	0.999965023961193
AC021087.5	0.0222720107280228	-2.32346893378702e-07	0.001442694947311	0.962072381849346	0.999965023961193
AC021106.1	0.0117539664156544	2.64580821246874e-07	0.00144269500593096	0.997989703673993	0.999965023961193
AC022080.2	0.00913901467500958	2.72347825782212e-08	0.00144269502389601	0.99975849812319	0.999965023961193
AC022137.3	0.132613095369445	-6.1401957625091e-07	0.00144269427821178	0.760176776412716	0.999965023961193
AC022384.1	0.043980033742353	-1.58465560419824e-07	0.00144269498809727	0.923630527760796	0.999965023961193
AC022826.2	0.0124494515714499	-1.48880090066039e-07	0.00144269500206395	0.965521767508904	0.999965023961193
AC023055.1	0.0541105908869949	-3.97213901380355e-08	0.00144269501307854	0.907176160179502	0.999965023961193
AC024293.1	0.0347418342703758	-1.7259041296147e-07	0.00144269501339984	0.946765600510443	0.999965023961193
AC024940.2	0.0108868680181886	1.17047309675068e-07	0.00144269500195977	0.997989703673993	0.999965023961193
AC024940.7	0.013372963442639	3.89958485258255e-08	0.00144269502893384	0.980157898382802	0.999965023961193
AC025279.3	0.0336434580000859	8.26463126937687e-08	0.00144269501906809	0.969313239518742	0.999965023961193
AC025449.1	0.0203068044783688	-1.75149722207529e-07	0.00144269499970606	0.965576065744243	0.999965023961193
AC025594.1	0.0280645620803879	2.02189361119807e-07	0.00144269502556477	0.984747340772126	0.999965023961193
AC026150.3	0.0202973185775719	-1.99018275015068e-07	0.00144269499871782	0.979050212112167	0.999965023961193
AC026271.1	0.013329421039647	5.57664308776665e-08	0.00144269502309333	0.998131010411102	0.999965023961193
AC026273.1	0.0552303318181833	-6.81535783557949e-10	0.0014426949426851	0.99290705369875	0.999965023961193
AC026316.4	0.400342990513119	1.52671865146205e-06	0.00144269130280665	0.534840942153063	0.999965023961193
AC026403.1	0.00545223393923732	6.94908693484591e-08	0.00144269501248601	0.997946224690439	0.999965023961193
AC026412.2	0.0106195390273223	8.88800167829862e-09	0.00144269502119819	0.997902745712983	0.999965023961193
AC026464.3	0.019959114382928	8.87686282734145e-08	0.00144269501594465	0.984573456416161	0.999965023961193
AC026464.4	0.0108056516618456	-8.4117571680576e-08	0.00144269501838931	0.963369934722276	0.999965023961193
AC026877.1	0.0302086084200528	-1.50997691362636e-08	0.00144269495818671	0.964234914488792	0.999965023961193
AC034102.2	0.00786590041455002	-9.27234480936407e-08	0.00144269501259522	0.965478329035729	0.999965023961193
AC034236.1	0.0249300371899772	-1.80706390727176e-07	0.00144269500609283	0.946808982904708	0.999965023961193
AC040162.1	0.711367987720284	-2.28416167325267e-06	0.00144269357082276	0.145716021953017	0.999965023961193
AC053481.2	0.0291909735224344	1.9931437107893e-07	0.00144269499814024	0.982615554633294	0.999965023961193
AC055811.2	0.0497432791116523	1.36008359758573e-07	0.0014426949945176	0.983914239827977	0.999965023961193
AC055839.2	0.0357880231651276	9.06015828522585e-08	0.00144269494813593	0.986035226011658	0.999965023961193
AC067904.2	0.0107214167064559	6.399249102097e-08	0.00144269502025254	0.998120140659956	0.999965023961193
AC068580.4	0.0661819676369197	-2.51575457613538e-07	0.00144269501426294	0.863137481895808	0.999965023961193
AC068620.3	0.0292792084744096	-4.97638290849703e-08	0.00144269499308319	0.980877514228604	0.999965023961193
AC068631.3	0.0216353468996787	8.32798054274247e-09	0.00144269501643877	0.97894155196642	0.999965023961193
AC069368.1	0.0717359024260153	-5.25505940122344e-08	0.00144269476682022	0.98813686442014	0.999965023961193
AC073065.1	0.0523569318940888	-1.68925609737662e-08	0.00144269491533187	0.957448639774122	0.999965023961193
AC073135.3	0.0422074571574511	-1.59405666569717e-07	0.00144269502319805	0.942674034039433	0.999965023961193
AC073135.6	0.0076061259110202	-8.12510377969621e-08	0.00144269501967487	0.963359076401306	0.999965023961193
AC073896.1	0.026864259296021	-8.58766753774426e-08	0.00144269497974578	0.962267817953822	0.999965023961193
AC074141.1	0.0644397016825656	1.03752083722813e-07	0.00144269486565418	0.984575872230668	0.999965023961193
AC078819.1	0.0076061259110202	-8.12510377969621e-08	0.00144269501967487	0.963359076401306	0.999965023961193
AC079363.1	0.0103112157856894	6.3203495688745e-08	0.0014426950175037	0.999834586588675	0.999965023961193
AC079416.2	0.116534938967031	-2.61361194618568e-07	0.0014426949047869	0.842015234987579	0.999965023961193
AC083899.1	0.0241853705461711	-7.53446702276408e-08	0.00144269498612294	0.98091011422226	0.999965023961193
AC084017.1	0.0565622159278935	-5.35216851984041e-08	0.00144269492223707	0.954877126703236	0.999965023961193
AC087393.1	0.564435772488058	-1.11300501535509e-06	0.00144269441129939	0.278546231184183	0.999965023961193
AC087639.1	0.0124963322246691	-8.96893679291464e-08	0.00144269502821087	0.963630536458962	0.999965023961193
AC087721.2	0.0634529439273819	1.69780611738625e-07	0.00144269494909253	0.922784946293568	0.999965023961193
AC090527.3	0.0375115857942023	1.35787943829883e-07	0.00144269497450127	0.986133039162489	0.999965023961193
AC090720.1	0.0119098975683679	7.48133220145831e-08	0.00144269501957725	0.997913615456768	0.999965023961193
AC090950.1	0.0181535493080203	1.26237137456455e-07	0.00144269500699986	0.980570824976254	0.999965023961193
AC091551.1	0.0414049398423495	1.4582019378728e-07	0.00144269501710554	0.965247856124609	0.999965023961193
AC091564.1	0.00685400339147974	9.41530196752117e-08	0.00144269500282498	0.997978833927539	0.999965023961193
AC091959.3	0.0252568960379356	2.08361087057087e-07	0.00144269498687972	0.982561218668841	0.999965023961193
AC092053.2	11.677797229222	-1.77145225469142e-06	0.0014426887044271	0.358543748836565	0.999965023961193
AC092070.2	0.411420925684362	-8.42425818557862e-07	0.00144269109645408	0.685327332728054	0.999965023961193
AC092278.1	0.0749967549225127	1.61488287199902e-06	0.00144269529126078	0.968904185881917	0.999965023961193
AC092329.3	0.016067103352964	-1.34322642349347e-07	0.00144269501250486	0.963489376700866	0.999965023961193
AC092718.3	0.0724505010850705	-2.2493893013988e-07	0.0014426949751311	0.924189489613868	0.999965023961193
AC092718.8	0.0117410223065434	-7.25004872543577e-08	0.00144269502086072	0.965445750248072	0.999965023961193
AC092821.2	0.0703862314876077	3.79014192781133e-07	0.00144269489328963	0.908079433367643	0.999965023961193
AC092933.1	0.0278991623986093	-1.08433577901443e-07	0.00144269497479607	0.964039456100708	0.999965023961193
AC092953.1	0.00545223393923732	6.94908693484591e-08	0.00144269501248601	0.997946224690439	0.999965023961193
AC093004.1	0.0073662844938337	-5.95122751063584e-08	0.00144269502159478	0.965434890665002	0.999965023961193
AC093323.1	0.0112144860000286	-1.20552904457739e-07	0.00144269501796053	0.999856326150548	0.999965023961193
AC093392.2	0.684769526398427	-1.75273358251508e-06	0.00144269038815873	0.400239159307945	0.999965023961193
AC093512.2	0.0108868680181886	1.17047309675068e-07	0.00144269500195977	0.997989703673993	0.999965023961193
AC093591.1	0.0222928063481795	-2.19181486833042e-08	0.00144269495755381	0.983107006279736	0.999965023961193
AC093668.1	0.0103112157856894	6.3203495688745e-08	0.0014426950175037	0.999834586588675	0.999965023961193
AC093752.1	0.0184695568159785	7.33450936263453e-08	0.00144269501529271	0.999943284398948	0.999965023961193
AC093809.1	0.00863218186472279	-7.93113622716717e-08	0.00144269501882313	0.965673802969932	0.999965023961193
AC093827.5	0.424164321979621	-2.74877212407159e-07	0.00144269194437245	0.812019717750328	0.999965023961193
AC097376.2	0.0514589816479875	1.31291391669733e-07	0.00144269490972965	0.985105495263442	0.999965023961193
AC097658.2	0.0198753824406679	8.24194970423846e-08	0.00144269501558978	0.984584324167024	0.999965023961193
AC099489.1	0.390080773093736	-1.95122243014556e-07	0.00144269397372209	0.891526360058799	0.999965023961193
AC099560.2	0.0288605544203625	1.50557513657063e-07	0.00144269500641039	0.962759456999401	0.999965023961193
AC099811.2	0.0137965369054929	5.62247007707437e-08	0.00144269502320426	0.998131010411102	0.999965023961193
AC100757.3	0.195107634261148	1.13343921404544e-07	0.00144269412496884	0.934467047631944	0.999965023961193
AC100868.1	0.108582517773937	3.42001317716552e-07	0.00144269479917816	0.965702604005274	0.999965023961193
AC103810.1	3.27848831174972	2.64452557072533e-07	0.00144268761353786	0.908875491313005	0.999965023961193
AC104109.3	0.0891976001640959	2.68201444281782e-07	0.00144269473295874	0.928133556627791	0.999965023961193
AC104162.1	0.0174273593794653	-1.83111637178978e-07	0.00144269500399724	0.946657145215631	0.999965023961193
AC104389.5	1.53692826092493	1.90748949237831e-06	0.00144268397766671	0.506149042058085	0.999965023961193
AC104389.6	0.864431437542329	3.22467369938762e-07	0.0014426940941334	0.673453825144187	0.999965023961193
AC105052.3	0.30772748958562	3.40456045323751e-07	0.00144269473553132	0.761344060092851	0.999965023961193
AC105233.2	0.00931749822736747	5.60554927403956e-08	0.00144269501962097	0.998120140659956	0.999965023961193
AC105339.1	0.00913901467500958	2.72347825782212e-08	0.00144269502389601	0.99975849812319	0.999965023961193
AC106791.3	0.0701329011302335	-2.76219155014486e-07	0.00144269492273299	0.922630292195318	0.999965023961193
AC106795.1	0.00545223393923732	6.94908693484591e-08	0.00144269501248601	0.997946224690439	0.999965023961193
AC106800.4	0.0137965369054929	5.62247007707437e-08	0.00144269502320426	0.998131010411102	0.999965023961193
AC106865.1	2.89243749554271	3.17237964465397e-06	0.0014426787790326	0.379861062998765	0.999965023961193
AC106872.2	0.0203068044783688	-1.75149722207529e-07	0.00144269499970606	0.965576065744243	0.999965023961193
AC106886.6	0.681551246184059	-2.33837534472925e-06	0.0014426880295004	0.325280073525323	0.999965023961193
AC107871.1	0.0117539664156544	2.64580821246874e-07	0.00144269500593096	0.997989703673993	0.999965023961193
AC107918.4	0.250395976475181	6.46657191793148e-08	0.00144269305641449	0.947456201699559	0.999965023961193
AC107959.5	0.0603953768663783	1.41297534232499e-07	0.00144269499522838	0.933714405122737	0.999965023961193
AC107983.1	0.0103112157856894	6.3203495688745e-08	0.0014426950175037	0.999834586588675	0.999965023961193
AC108488.2	0.0117539664156544	2.64580821246874e-07	0.00144269500593096	0.997989703673993	0.999965023961193
